product_name,price,rating,link
N/A,16999,N/A,N/A
N/A,N/A,N/A,N/A
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",12999,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-sAMOLED-Display-Battery-Security/dp/B0C7C1DRK5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-1
"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",12490,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSSNV7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-2
"Samsung Galaxy M14 5G (Smoky Teal,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",11490,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCV25LG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-3
Ringke Fusion Compatible with Samsung Galaxy S22 5G Cover Case Transparent Hard Back Soft Flexible TPU Bumper Scratch Resistant Natural Form Back Cover - Clear,1259,4.4 out of 5 stars,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RD0Mme92VyRkJ2VXxfTjZ8QAAAGPro6IoQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBfqysw/https://www.amazon.in/Ringke-Fusion-Compatible-Transparent-Resistant/dp/B09PMRVSB5/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.b42c24c1-350c-4ffc-af23-8292fe4c8462%3Aamzn1.sym.b42c24c1-350c-4ffc-af23-8292fe4c8462&cv_ct_cx=samsung+phones&dib=eyJ2IjoiMSJ9._9_dWsel4AvSGjEy9ZjVNA.5EYs5X75s1zjwpDAof1a4dyki1ZRrpWHedMqiln2Hxo&dib_tag=se&keywords=samsung+phones&pd_rd_i=B09PMRVSB5&pd_rd_r=db0af547-d769-4caf-a8aa-31c36412c8eb&pd_rd_w=2Fo5A&pd_rd_wg=mqAqf&pf_rd_p=b42c24c1-350c-4ffc-af23-8292fe4c8462&pf_rd_r=SNEXMKS65J3DPJFBQMPG&qid=1716620527&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
N/A,N/A,N/A,N/A
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",12490,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCR6TNK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-4
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger",8999,3.9 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Sapphire-Snapdragon-Processor-Security/dp/B0CV7KZLL4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-5
"Samsung Galaxy A14 5G (Dark Red, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger",15999,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Galaxy-Storage-Without-Charger/dp/B0BS16FS5K/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-6
"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger",26499,4.1 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Awesome-Storage-Gorilla-Without/dp/B0BXD5XVW1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-7
"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)",22739,3.8 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Galaxy-F54-Stardust-Silver/dp/B0CB97SJ6Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-8
"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",12999,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Midnight-sAMOLED-Display-Security/dp/B0C7BZX934/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-9
"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 128GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger",24499,4.1 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Awesome-Storage-Gorilla-Without/dp/B0BXD5BGB5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-10
"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",12490,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSNTT4/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-11
"Samsung Galaxy M14 5G (ICY Silver,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",11490,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSMP95/ref=sr_1_12?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-12
"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger",14999,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Waterfall-sAMOLED-Display-Security/dp/B0C7C2NBY2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-13
"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",N/A,4.0 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Waterfall-sAMOLED-Display-Security/dp/B0C7C28GKF/ref=sr_1_14?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-14
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",16999,3.7 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjE4NzQ4NjIxMDA4MTQ1OjE3MTY2MjA1Mjc6c3BfbXRmOjMwMDExODYxMjg3NTMzMjo6MDo6&url=%2FRedmi-Storage-Bezel-Less-Slimmest-Pro-Grade%2Fdp%2FB0CQPGG8KG%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0%26dib_tag%3Dse%26keywords%3Dsamsung%2Bphones%26qid%3D1716620527%26s%3Delectronics%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"itel A70 (4GB RAM, 128GB ROM) Upto 12GB RAM with Memory Fusion | 13MP Dual Rear Camera & 8MP Front Camera | 5000mAh with Type-C | Dynamic Bar | Side Fingerprint | Octa-Core Processor | Azure Blue",6799,3.9 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjE4NzQ4NjIxMDA4MTQ1OjE3MTY2MjA1Mjc6c3BfbXRmOjMwMDExNjI0NzUwMjkzMjo6MDo6&url=%2F5000mAh-Dynamic-Fingerprint-Octa-Core-Processor%2Fdp%2FB0CQ7Z7JCH%2Fref%3Dsr_1_16_sspa%3Fdib%3DeyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0%26dib_tag%3Dse%26keywords%3Dsamsung%2Bphones%26qid%3D1716620527%26s%3Delectronics%26sr%3D1-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Samsung Galaxy M15 5G (Blue Topaz,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED Display| Without Charger",14499,3.5 out of 5 stars,https://www.amazon.inhttps://www.amazon.in/Samsung-Storage-MediaTek-Dimensity-Security/dp/B0CYQ2LZC9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.nB-_pOJxRa3sHn2DY4LIYMeV4088UFK3-O-5dKBGwzSu-rpjYLb2wMd_f3pe_X5Ow7TtgrTgedalxgNVzaJJ5UidhIM_T7dhCHKB7GKsi1jWjDfiKoKJmJrONfB31to1SCET4iGwDYvBxJDyTvnS7Ef6gMaTwZXs089DbP0oLgXlpzL-i1TDrvRLi8JDARk2ahN4qVfvtfC08mknPTT0auxduEtA7cCwk9U81GWmbKjfHLQzyGvlOZi0rF-goHKfddAthJNEr5rFmiKh1OmAYI-93PJZLu00ab9Mz6wogn0.-P8_Oi1ykdomYr2oDoQASefIiYAcG0-FOJ1yBmVmsa0&dib_tag=se&keywords=samsung+phones&qid=1716620527&s=electronics&sr=1-17
